,Unnamed: 0,Perpetrator ,Total number of attacks on facilities which reported damage,Total health worker killed,Attack date,Health transportation destroyed,Country,Total health worker arrested ,Health transportation damaged,Health transportation stolen/highjacked,Total health worker kidnapped,Total health worker injured,Total number of attacks on facilities which reported destruction,cluster
122,122,UnspecNonMilArmed,1.0,0.0,2018-02-26 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
123,123,UnspecNonMilArmed,0.0,0.0,2018-03-05 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
124,124,UnspecNonMilArmed,0.0,1.0,2018-06-08 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
125,125,NoInformation,0.0,0.0,2018-06-12 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
126,126,UnspecNonMilArmed,0.0,0.0,2018-07-12 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
127,127,NonStateArmedGroups,0.0,0.0,2018-08-19 00:00:00,0.0,DRC,0.0,0.0,0.0,4.0,0.0,0.0,1
128,128,UnspecNonMilArmed,0.0,0.0,2018-09-22 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
129,129,NonStateArmedGroups,0.0,2.0,2018-10-21 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
130,130,NonStateArmedGroups,0.0,0.0,2018-11-07 00:00:00,0.0,DRC,0.0,0.0,0.0,1.0,0.0,0.0,1
131,131,UnspecNonMilArmed,0.0,0.0,2018-11-16 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
132,132,UnspecNonMilArmed,0.0,0.0,2018-11-16 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
133,133,NonStateArmedGroups,0.0,0.0,2018-11-16 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
134,134,NoInformation,0.0,0.0,2018-11-20 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
135,135,UnspecNonMilArmed,0.0,0.0,2018-11-20 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
136,136,NonStateArmedGroups,0.0,0.0,2018-11-21 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
137,137,NoInformation,0.0,0.0,2018-12-04 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,2.0,1
138,138,NoInformation,0.0,0.0,2018-12-10 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
139,139,NonStateArmedGroups,0.0,0.0,2018-12-12 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0,1
140,140,NonStateArmedGroups,0.0,0.0,2018-08-27 00:00:00,1.0,Egypt,0.0,0.0,0.0,0.0,2.0,0.0,0
141,141,NonStateArmedGroups,3.0,0.0,2018-07-15 00:00:00,0.0,Ethiopia,0.0,0.0,0.0,0.0,0.0,0.0,1
142,142,UnspecNonMilArmed,0.0,0.0,2018-03-29 00:00:00,0.0,Indonesia,0.0,0.0,0.0,1.0,0.0,0.0,1
