,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
64191,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Gazag village,34.785,65.3468,Afghanistan,Asia,2020-08-24,2020-08-24,3,0,0,0,3,3,3,2
64193,2020,One-Sided,Taleban,Civilians,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Aqcha district,36.902593,66.211697,Afghanistan,Asia,2020-08-24,2020-08-24,0,0,0,0,0,2,0,0
64194,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Talawka village,36.7904,68.8307,Afghanistan,Asia,2020-08-24,2020-08-24,3,0,0,0,3,3,3,0
64195,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Salimi village,34.25293,62.491825,Afghanistan,Asia,2020-08-25,2020-08-25,1,0,0,0,1,1,1,2
64196,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Hirat town,34.349991,62.200001,Afghanistan,Asia,2020-08-25,2020-08-25,1,0,0,0,1,1,1,2
64197,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Yangi Tashqul (Yangi Qala) village,35.6729,64.2995,Afghanistan,Asia,2020-08-25,2020-08-25,4,0,0,0,4,4,4,2
64198,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Fayzabad town,37.116638,70.580022,Afghanistan,Asia,2020-08-25,2020-08-25,2,0,0,0,2,2,2,0
64200,2020,State,Government of Afghanistan,Taleban,2,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020"";""Pajhwok News,2020-08-28,12 members of a family killed in Kandahar blast""",NYTimes.com Feed;Pajhwok News,2020-08-06;2020-08-28,Surkhbed village,32.38938,66.05132,Afghanistan,Asia,2020-08-26,2020-08-26,0,0,3,0,3,3,2,1
64201,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Karz village,31.5819,65.7321,Afghanistan,Asia,2020-08-26,2020-08-26,1,0,0,0,1,1,1,1
64205,2020,State,Government of Afghanistan,Taleban,1,"""NYTimes.com Feed,2020-08-06,Afghan War Casualty Report: August 2020""",NYTimes.com Feed,2020-08-06,Baghlani Jadid district,36.324882,68.6234,Afghanistan,Asia,2020-08-26,2020-08-26,16,0,0,0,16,16,16,0
