,id,latitude,longitude,count,Country
178,255374,32.085373,63.688011,2,Afghanistan
179,255135,33.0,65.0,6,Afghanistan
180,255140,34.750462,71.118319,3,Afghanistan
181,255137,34.33333,70.41667,2,Afghanistan
182,255376,32.62675,65.873313,4,Afghanistan
183,261429,32.6371,65.9044,3,Afghanistan
184,261646,33.33333,67.75,2,Afghanistan
185,261647,34.0,69.25,2,Afghanistan
186,261648,31.0,65.75,2,Afghanistan
187,261649,32.83333,66.0,2,Afghanistan
188,261650,34.25,68.0,2,Afghanistan
189,255379,33.305843,68.446963,12,Afghanistan
190,255133,34.825481,70.084213,9,Afghanistan
191,261369,33.472932,68.657758,12,Afghanistan
192,250893,32.489324,62.065236,1,Afghanistan
193,250894,36.112492,66.055374,1,Afghanistan
194,250895,32.62675,65.873313,12,Afghanistan
195,255136,34.718494,70.256599,4,Afghanistan
196,255375,34.2158,70.8323,1,Afghanistan
197,255371,34.151794,69.070099,4,Afghanistan
198,255155,33.305843,68.446963,6,Afghanistan
199,255374,32.085373,63.688011,2,Afghanistan
200,255135,33.0,65.0,6,Afghanistan
201,255140,34.750462,71.118319,3,Afghanistan
202,255137,34.33333,70.41667,2,Afghanistan
203,255376,32.62675,65.873313,4,Afghanistan
204,261429,32.6371,65.9044,3,Afghanistan
205,261646,33.33333,67.75,2,Afghanistan
206,261647,34.0,69.25,2,Afghanistan
207,261648,31.0,65.75,2,Afghanistan
208,261649,32.83333,66.0,2,Afghanistan
209,261650,34.25,68.0,2,Afghanistan
210,255379,33.305843,68.446963,12,Afghanistan
211,255133,34.825481,70.084213,9,Afghanistan
212,261369,33.472932,68.657758,12,Afghanistan
213,250893,32.489324,62.065236,1,Afghanistan
214,250894,36.112492,66.055374,1,Afghanistan
215,250895,32.62675,65.873313,12,Afghanistan
216,255136,34.718494,70.256599,4,Afghanistan
217,255375,34.2158,70.8323,1,Afghanistan
218,255371,34.151794,69.070099,4,Afghanistan
219,255155,33.305843,68.446963,6,Afghanistan
220,255374,32.085373,63.688011,2,Afghanistan
221,255135,33.0,65.0,6,Afghanistan
222,255140,34.750462,71.118319,3,Afghanistan
223,255137,34.33333,70.41667,2,Afghanistan
224,255376,32.62675,65.873313,4,Afghanistan
225,261429,32.6371,65.9044,3,Afghanistan
226,261646,33.33333,67.75,2,Afghanistan
227,261647,34.0,69.25,2,Afghanistan
228,261648,31.0,65.75,2,Afghanistan
229,261649,32.83333,66.0,2,Afghanistan
230,261650,34.25,68.0,2,Afghanistan
231,255379,33.305843,68.446963,12,Afghanistan
232,255133,34.825481,70.084213,9,Afghanistan
233,261369,33.472932,68.657758,12,Afghanistan
234,250893,32.489324,62.065236,1,Afghanistan
235,250894,36.112492,66.055374,1,Afghanistan
236,250895,32.62675,65.873313,12,Afghanistan
237,255136,34.718494,70.256599,4,Afghanistan
238,255375,34.2158,70.8323,1,Afghanistan
239,255371,34.151794,69.070099,4,Afghanistan
240,255155,33.305843,68.446963,6,Afghanistan
241,255374,32.085373,63.688011,2,Afghanistan
242,255135,33.0,65.0,6,Afghanistan
243,255140,34.750462,71.118319,3,Afghanistan
244,255137,34.33333,70.41667,2,Afghanistan
245,255376,32.62675,65.873313,4,Afghanistan
246,261429,32.6371,65.9044,3,Afghanistan
247,261646,33.33333,67.75,2,Afghanistan
248,261647,34.0,69.25,2,Afghanistan
249,261648,31.0,65.75,2,Afghanistan
