,,,deaths_a,deaths_a,deaths_a,deaths_a,deaths_b,deaths_b,deaths_b,deaths_b,deaths_unknown,deaths_unknown,deaths_unknown,deaths_unknown,best,best,best,best
,,,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean
region,country,year,,,,,,,,,,,,,,,,
Africa,Somalia,2019,255,0,20,0.5985915492957746,1384,0,66,3.248826291079812,301,0,43,0.7065727699530516,2219,0,86,5.208920187793427
Africa,Somalia,2020,253,0,15,0.6421319796954315,1494,0,127,3.7918781725888326,107,0,20,0.2715736040609137,2120,0,127,5.380710659898477
Africa,Somalia,2021,238,0,17,0.6102564102564103,1651,0,107,4.233333333333333,122,0,30,0.3128205128205128,2269,0,107,5.817948717948718
Africa,Somalia,2022,178,0,30,0.5266272189349113,2361,0,200,6.985207100591716,379,0,120,1.121301775147929,3115,0,200,9.215976331360947
Africa,South Africa,2018,0,0,0,0.0,0,0,0,0.0,11,0,10,3.6666666666666665,12,1,10,4.0
Africa,South Africa,2019,1,0,1,0.2,0,0,0,0.0,2,0,1,0.4,8,1,4,1.6
Africa,South Africa,2020,2,0,1,0.1111111111111111,1,0,1,0.05555555555555555,20,0,6,1.1111111111111112,29,0,6,1.6111111111111112
Africa,South Africa,2021,44,0,33,3.6666666666666665,4,0,2,0.3333333333333333,75,0,49,6.25,123,1,49,10.25
Africa,South Africa,2022,1,0,1,0.25,1,0,1,0.25,2,0,2,0.5,4,0,2,1.0
Africa,South Sudan,2018,284,0,60,1.8205128205128205,115,0,18,0.7371794871794872,382,0,84,2.448717948717949,1217,0,128,7.801282051282051
Africa,South Sudan,2019,81,0,17,1.1911764705882353,71,0,22,1.0441176470588236,340,0,81,5.0,642,0,81,9.441176470588236
Africa,South Sudan,2020,42,0,12,0.6666666666666666,54,0,11,0.8571428571428571,563,0,297,8.936507936507937,748,0,300,11.873015873015873
Africa,South Sudan,2021,98,0,37,1.7818181818181817,101,0,65,1.8363636363636364,641,0,156,11.654545454545454,891,1,156,16.2
Africa,South Sudan,2022,59,0,32,1.7352941176470589,23,0,19,0.6764705882352942,362,0,235,10.647058823529411,723,0,235,21.264705882352942
Africa,Sudan,2018,128,0,18,1.2673267326732673,46,0,4,0.45544554455445546,161,0,36,1.5940594059405941,432,0,36,4.2772277227722775
Africa,Sudan,2019,33,0,22,0.358695652173913,44,0,20,0.4782608695652174,171,0,40,1.858695652173913,435,0,98,4.728260869565218
Africa,Sudan,2020,67,0,27,0.9710144927536232,128,0,42,1.855072463768116,359,0,85,5.202898550724638,620,0,85,8.985507246376812
Africa,Sudan,2021,68,0,48,0.8831168831168831,164,0,109,2.1298701298701297,504,0,144,6.545454545454546,862,0,163,11.194805194805195
Africa,Sudan,2022,396,0,114,3.6,227,0,124,2.0636363636363635,688,0,201,6.254545454545455,1407,1,237,12.790909090909091
Africa,Tanzania,2018,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0
Africa,Tanzania,2019,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,8,1,6,2.6666666666666665
Africa,Tanzania,2020,4,0,3,0.23529411764705882,0,0,0,0.0,0,0,0,0.0,44,0,22,2.588235294117647
Africa,Tanzania,2021,5,0,3,0.625,8,0,5,1.0,1,0,1,0.125,26,1,5,3.25
Africa,Tanzania,2022,0,0,0,0.0,0,0,0,0.0,2,0,2,0.6666666666666666,4,1,2,1.3333333333333333
Africa,Togo,2019,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0
Africa,Togo,2022,12,0,8,1.5,15,0,15,1.875,0,0,0,0.0,62,1,23,7.75
Africa,Tunisia,2018,12,0,9,0.9230769230769231,10,0,2,0.7692307692307693,2,0,2,0.15384615384615385,25,1,9,1.9230769230769231
Africa,Tunisia,2019,3,0,1,0.3333333333333333,16,0,3,1.7777777777777777,0,0,0,0.0,20,1,4,2.2222222222222223
Africa,Tunisia,2020,2,0,1,0.4,9,0,3,1.8,0,0,0,0.0,12,1,4,2.4
Africa,Tunisia,2021,4,0,4,0.4444444444444444,8,0,5,0.8888888888888888,1,0,1,0.1111111111111111,18,0,5,2.0
Africa,Tunisia,2022,0,0,0,0.0,3,3,3,3.0,0,0,0,0.0,3,3,3,3.0
Africa,Uganda,2018,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2,1,1,1.0
Africa,Uganda,2019,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2,1,1,1.0
Africa,Uganda,2021,0,0,0,0.0,15,0,4,1.25,1,0,1,0.08333333333333333,23,0,4,1.9166666666666667
Africa,Uganda,2022,1,0,1,0.16666666666666666,23,0,17,3.8333333333333335,0,0,0,0.0,25,0,19,4.166666666666667
Africa,Zimbabwe (Rhodesia),2018,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4,1,3,2.0
Africa,Zimbabwe (Rhodesia),2019,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,8,0,2,1.0
Africa,Zimbabwe (Rhodesia),2020,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2,2,2,2.0
Americas,Bolivia,2021,0,0,0,0.0,1,1,1,1.0,0,0,0,0.0,1,1,1,1.0
Americas,Brazil,2018,36,0,18,0.35294117647058826,27,0,10,0.2647058823529412,2321,0,1906,22.754901960784313,2390,0,1906,23.431372549019606
Americas,Brazil,2019,4,0,2,0.007462686567164179,72,0,62,0.13432835820895522,1498,0,739,2.794776119402985,1627,0,739,3.03544776119403
Americas,Brazil,2020,15,0,2,0.023809523809523808,32,0,6,0.050793650793650794,2420,0,721,3.8412698412698414,2522,0,721,4.003174603174603
Americas,Brazil,2021,38,0,4,0.06397306397306397,53,0,6,0.08922558922558922,2198,0,98,3.7003367003367003,2369,0,98,3.9882154882154883
Americas,Brazil,2022,60,0,3,0.044676098287416234,65,0,3,0.04839910647803425,1223,0,6,0.9106478034251675,1500,0,6,1.1169024571854058
Americas,Colombia,2018,39,0,6,0.312,89,0,18,0.712,2,0,2,0.016,239,0,18,1.912
Americas,Colombia,2019,46,0,21,0.5411764705882353,76,0,10,0.8941176470588236,13,0,7,0.15294117647058825,189,0,22,2.223529411764706
Americas,Colombia,2020,16,0,6,0.15384615384615385,20,0,8,0.19230769230769232,3,0,1,0.028846153846153848,155,0,9,1.4903846153846154
Americas,Colombia,2021,40,0,5,0.3252032520325203,63,0,14,0.5121951219512195,28,0,7,0.22764227642276422,227,0,19,1.8455284552845528
Americas,Colombia,2022,21,0,7,0.3620689655172414,49,0,23,0.8448275862068966,36,0,10,0.6206896551724138,153,0,23,2.6379310344827585
Americas,Ecuador,2019,1,1,1,1.0,1,1,1,1.0,0,0,0,0.0,2,2,2,2.0
Americas,Ecuador,2021,0,0,0,0.0,0,0,0,0.0,291,4,118,36.375,291,4,118,36.375
Americas,Ecuador,2022,0,0,0,0.0,0,0,0,0.0,115,1,44,12.777777777777779,115,1,44,12.777777777777779
Americas,El Salvador,2019,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0
Americas,El Salvador,2021,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0
Americas,El Salvador,2022,0,0,0,0.0,0,0,0,0.0,88,1,6,1.2941176470588236,88,1,6,1.2941176470588236
Americas,Guatemala,2022,6,0,6,3.0,0,0,0,0.0,6,0,6,3.0,12,6,6,6.0
Americas,Haiti,2018,0,0,0,0.0,0,0,0,0.0,71,71,71,71.0,71,71,71,71.0
Americas,Haiti,2019,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0
Americas,Haiti,2020,0,0,0,0.0,0,0,0,0.0,2,0,2,0.0425531914893617,165,1,39,3.5106382978723403
Americas,Haiti,2021,13,0,10,0.5909090909090909,17,0,15,0.7727272727272727,8,0,3,0.36363636363636365,131,1,25,5.954545454545454
Americas,Haiti,2022,8,0,8,0.12307692307692308,16,0,16,0.24615384615384617,87,0,27,1.3384615384615384,236,0,47,3.6307692307692307
Americas,Honduras,2019,0,0,0,0.0,0,0,0,0.0,40,4,18,13.333333333333334,40,4,18,13.333333333333334
Americas,Honduras,2020,1,1,1,1.0,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0
Americas,Honduras,2021,0,0,0,0.0,0,0,0,0.0,5,0,5,2.5,6,1,5,3.0
Americas,Honduras,2022,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4,4,4,4.0
Americas,Mexico,2018,17,0,6,0.02390998593530239,44,0,15,0.06188466947960619,8736,0,1162,12.286919831223628,8824,0,1162,12.410689170182842
Americas,Mexico,2019,66,0,15,0.064453125,75,0,10,0.0732421875,11829,0,275,11.5517578125,12002,0,275,11.720703125
Americas,Mexico,2020,54,0,12,0.02607436021245775,49,0,18,0.023660067600193145,16244,0,1162,7.843553838725254,16464,0,1162,7.949782713664896
Americas,Mexico,2021,167,0,20,0.044261860588391204,99,0,9,0.026239067055393587,18446,0,344,4.888947786906971,18850,0,344,4.996024383779486
Americas,Mexico,2022,78,0,7,0.0346512661039538,78,0,18,0.0346512661039538,13940,0,1881,6.192803198578409,14254,0,1881,6.33229675699689
Americas,Paraguay,2018,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0
Americas,Paraguay,2020,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0
Americas,Paraguay,2021,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,4,4,4,4.0
Americas,Peru,2019,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,2,2,2,2.0
Americas,Peru,2020,0,0,0,0.0,0,0,0,0.0,5,0,5,1.6666666666666667,11,3,5,3.6666666666666665
Americas,Peru,2021,0,0,0,0.0,4,0,3,1.3333333333333333,14,0,14,4.666666666666667,20,1,16,6.666666666666667
Americas,Peru,2022,3,0,2,1.0,10,0,10,3.3333333333333335,1,0,1,0.3333333333333333,14,1,12,4.666666666666667
Americas,United States of America,2018,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0
Americas,United States of America,2019,1,1,1,1.0,3,3,3,3.0,0,0,0,0.0,4,4,4,4.0
Americas,United States of America,2022,0,0,0,0.0,0,0,0,0.0,1,1,1,1.0,1,1,1,1.0
Americas,Venezuela,2018,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,86,0,4,0.9662921348314607
Americas,Venezuela,2019,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,83,0,3,1.0921052631578947
Americas,Venezuela,2020,0,0,0,0.0,0,0,0,0.0,1,0,1,0.25,5,1,2,1.25
