,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
28521,2020,Non-State,SNA,SDF,1,"""SOHR,2020-02-04,“SDF” thwarts Turkish-backed factions attack in Manbij areas and a regime forces member killed in the clashes""",SOHR,2020-02-04,Al Bab district,36.309459,37.532774,Syria,Middle East,2020-02-02,2020-02-04,10,0,0,0,10,11,0,3
28522,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-01-28,52 persons killed across Syria yesterday, including 24 regime soldiers and loyalists Yesterday's total death toll includes four civilians""",SOHR,2020-01-28,Idlib governorate,35.766667,36.666667,Syria,Middle East,2020-01-27,2020-01-27,10,0,0,0,10,11,0,3
28523,2020,State,Government of Iran,Government of Israel,3,"""SOHR,2020-02-06,The number of regime soldiers and Iranian-backed militiamen killed in Israeli bombardment on Daraa and Rif Dimashq rises to 23"";""Crisis Watch Database,2020-02-29,Syria  FEBRUARY 2020"";""BBC,2020-02-06,Syria war: Israel 'hits Iran-backed fighters near Damascus'""",SOHR;Crisis Watch Database;BBC,2020-02-06;2020-02-29;2020-02-06,Izra town,32.8706,36.25453,Syria,Middle East,2020-02-06,2020-02-06,7,0,0,4,11,11,11,2
28535,2020,State,Government of Iran,Government of Israel,1,"""SOHR,2020-09-14,Third round in 11 days | Israeli jets strike Iranian positions in Deir Ezzor, killing ten""",SOHR,2020-09-14,Albu Kamal town,34.45,40.918611,Syria,Middle East,2020-09-03,2020-09-03,9,0,0,0,9,9,0,1
28536,2020,State,Government of Iran,Government of Israel,1,"""SOHR,2020-09-14,Third round in 11 days | Israeli jets strike Iranian positions in Deir Ezzor, killing ten""",SOHR,2020-09-14,Albu Kamal town,34.45,40.918611,Syria,Middle East,2020-09-14,2020-09-14,10,0,0,0,10,10,0,1
28729,2020,Non-State,Ahrar al-Sharqiya,"al-Moutasem Brigade, Hamza Division",2,"""SOHR,2020-04-21,Clashes among Turkish-backed factions leave casualties in Ras al-Ain "";""Syria Times,2020-04-22,20 terrorists killed in renewed infighting among Turkish-backed armed groups in Ras al-Ayn""",SOHR;Syria Times,2020-04-21;2020-04-22,Ras al Ayn town,36.850336,40.070555,Syria,Middle East,2020-04-21,2020-04-21,13,7,0,0,20,20,20,1
28731,2020,Non-State,Ahrar al-Sharqiya,"al-Moutasem Brigade, Hamza Division",1,"""The Syrian Observer,2020-04-07,Several Turkish-Backed Militants Killed in Clashes With One Another in Northeast Syria""",The Syrian Observer,2020-04-07,Ras al Ayn town,36.850336,40.070555,Syria,Middle East,2020-04-05,2020-04-05,0,0,0,8,8,8,8,1
33431,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-06-01,Assassination | unknown assailants shoot dead regime-backed member in eastern Daraa""",SOHR,2020-06-01,Nahtah town,32.78782,36.3491,Syria,Middle East,2020-06-01,2020-06-01,1,0,0,0,1,1,1,2
33432,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-06-01,Hostilities | Jihadist factions target regime forces, killing and injuring several soldiers on southern Idlib frontlines""",SOHR,2020-06-01,Ruwaiha village,35.737822,36.694991,Syria,Middle East,2020-06-01,2020-06-01,4,0,0,0,4,4,4,3
33457,2020,State,Government of Syria,Syrian insurgents,1,"""SOHR,2020-06-02,Murder | Regime soldier from Al-Suwaidaa found dead in eastern Daraa""",SOHR,2020-06-02,Al Karak town,32.68619,36.34853,Syria,Middle East,2020-06-02,2020-06-02,0,0,0,0,0,1,0,2
