,year,type_of_violence,side_a,side_b,number_of_sources,source_article,source_office,source_date,where_coordinates,latitude,longitude,country,region,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,cluster
25489,2021,One-Sided,Government of Myanmar (Burma),Civilians,4,"""Myanmar Now,2021-04-04,Soldiers murder at least two as anti-coup movement stages ‘Easter Egg Strike’"";""The Irrawaddy,2021-04-05,Easter Sunday Sees Myanmar Death Toll at Hands of Military Regime Topping 560"";""Radio Free Asia,2021-04-05,Weekend Crackdowns Kill Six Protesters as Local Media Report 10 Soldiers Killed"";""Reuters News,2021-04-04,Myanmar protesters make Easter eggs a symbol of defiance""",Myanmar Now;The Irrawaddy;Radio Free Asia;Reuters News,2021-04-04;2021-04-05;2021-04-05;2021-04-04,Pyinmana township,19.7381,96.20742,Myanmar (Burma),Asia,2021-04-04,2021-04-04,0,0,2,0,2,2,2,0
25490,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""Myanmar Now,2021-04-05,Troops in Mandalay fire single shot at couple on motorbike, killing woman and injuring her husband"";""Radio Free Asia,2021-04-05,Weekend Crackdowns Kill Six Protesters as Local Media Report 10 Soldiers Killed""",Myanmar Now;Radio Free Asia,2021-04-05;2021-04-05,Chanmyathazi township,21.936881,96.099927,Myanmar (Burma),Asia,2021-04-04,2021-04-04,0,0,1,0,1,1,1,1
25491,2021,One-Sided,Government of Myanmar (Burma),Civilians,2,"""The Irrawaddy,2021-04-06,Myanmar Junta Forces Shoot Dead Three Protesters in Sagaing Region"";""Radio Free Asia,2021-04-05,Weekend Crackdowns Kill Six Protesters as Local Media Report 10 Soldiers Killed""",The Irrawaddy;Radio Free Asia,2021-04-06;2021-04-05,Pinlebu township,23.95543,95.357323,Myanmar (Burma),Asia,2021-04-05,2021-04-05,0,0,1,0,1,1,1,2
25492,2021,One-Sided,Government of Myanmar (Burma),Civilians,5,"""The Irrawaddy,2021-04-07,Deaths of Protesters and Bystanders Push Myanmar Toll to at Least 596"";""Radio Free Asia,2021-04-05,Weekend Crackdowns Kill Six Protesters as Local Media Report 10 Soldiers Killed"";""Myanmar Now,2021-04-08,Another 20 killed in major crackdowns, as regime reaches a new milestone "";""The Irrawaddy,2021-04-08,Myanmar Junta Uses Explosives, Killing At Least Two Dozen Protesters"";""Reuters News,2021-04-07,Myanmar security forces kill 15 protesters, junta leader says opposition aims to ""destroy"" country""",The Irrawaddy;Radio Free Asia;Myanmar Now;The Irrawaddy;Reuters News,2021-04-07;2021-04-05;2021-04-08;2021-04-08;2021-04-07,Kalay township,23.173189,94.145293,Myanmar (Burma),Asia,2021-04-07,2021-04-07,0,0,3,0,3,3,3,1
25493,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""Myanmar Now,2021-04-11,Motorbike driver killed by sniper in Tamu, locals say""",Myanmar Now,2021-04-11,Tamu town,24.216633,94.312156,Myanmar (Burma),Asia,2021-04-11,2021-04-11,0,0,1,0,1,1,1,1
25494,2021,One-Sided,Government of Myanmar (Burma),Civilians,3,"""The Irrawaddy,2021-04-07,Deaths of Protesters and Bystanders Push Myanmar Toll to at Least 596"";""Myanmar Now,2021-04-08,Another 20 killed in major crackdowns, as regime reaches a new milestone "";""Reuters News,2021-04-07,Myanmar security forces kill 15 protesters, junta leader says opposition aims to ""destroy"" country""",The Irrawaddy;Myanmar Now;Reuters News,2021-04-07;2021-04-08;2021-04-07,Bago town,17.333217,96.483395,Myanmar (Burma),Asia,2021-04-07,2021-04-07,0,0,2,0,2,2,2,3
25495,2021,State,Government of Myanmar (Burma),KNU,1,"""Myanmar Now,2021-04-08,Military assault on Karen villages spreads to Mon State, KNU says""",Myanmar Now,2021-04-08,Marnaung village,15.133405,97.826214,Myanmar (Burma),Asia,2021-04-06,2021-04-06,0,0,1,0,1,1,1,3
25496,2021,State,Government of Myanmar (Burma),KNU,1,"""Myanmar Now,2021-04-08,Military assault on Karen villages spreads to Mon State, KNU says""",Myanmar Now,2021-04-08,Dawei town,14.09108,98.196143,Myanmar (Burma),Asia,2021-04-06,2021-04-06,0,0,0,0,0,3,0,3
25497,2021,State,Government of Myanmar (Burma),KNU,3,"""Karen News,2021-04-09,Burma Military Attacks Continue, Killing Another Mutraw District Villager"";""Reuters News,2021-04-07,Myanmar security forces kill 15 protesters, junta leader says opposition aims to ""destroy"" country"";""Free Burma Rangers,2021-04-12,Burma Army Wounds 11-year-old Girl, Kills Man, Wounds Five Others in Continued Attacks, With 24,000 Now Displaced in Northern Karen State""",Karen News;Reuters News;Free Burma Rangers,2021-04-09;2021-04-07;2021-04-12,Hpapun district,18.064,97.445,Myanmar (Burma),Asia,2021-04-08,2021-04-08,0,0,1,0,1,1,1,0
25498,2021,One-Sided,Government of Myanmar (Burma),Civilians,1,"""The Irrawaddy,2021-04-11,Resistance Forces Kill At Least 18 Myanmar Soldiers in Sagaing Border Town""",The Irrawaddy,2021-04-11,Tamu town,24.216633,94.312156,Myanmar (Burma),Asia,2021-04-10,2021-04-10,0,0,1,0,1,1,1,1
25499,2021,State,Government of Myanmar (Burma),KIO,4,"""The Irrawaddy,2021-04-12,Myanmar Military Artillery Kills Kachin Civilians"";""The Irrawaddy,2021-04-13,Myanmar Military Suffers Heavy Casualties in Fierce Fighting With Ethnic Armed Groups"";""Myanmar Now,2021-04-11,Junta’s armed forces launch attack to reclaim base seized by KIA"";""Myanmar Now,2021-04-13,Myanmar military ‘suffers heavy casualties’ in bid to recapture hill base from KIA""",The Irrawaddy;The Irrawaddy;Myanmar Now;Myanmar Now,2021-04-12;2021-04-13;2021-04-11;2021-04-13,Momauk township,24.521431,97.431576,Myanmar (Burma),Asia,2021-04-11,2021-04-11,0,0,0,0,0,2,0,2
