,Perpetrator ,Total number of attacks on facilities which reported damage,Total health worker killed,Attack date,Health transportation destroyed,Country,Total health worker arrested ,Health transportation damaged,Health transportation stolen/highjacked,Total health worker kidnapped,Total health worker injured,Total number of attacks on facilities which reported destruction
98,NoInformation,0.0,0.0,2018-10-06 00:00:00,0.0,Burkina Faso,0.0,1.0,0.0,0.0,0.0,0.0
99,NonStateArmedGroups,0.0,0.0,2018-10-23 00:00:00,0.0,Burkina Faso,0.0,1.0,0.0,0.0,0.0,0.0
100,NonStateArmedGroups,0.0,0.0,2018-10-26 00:00:00,0.0,Burkina Faso,0.0,0.0,1.0,0.0,0.0,0.0
101,NonStateArmedGroups,0.0,0.0,2018-10-27 00:00:00,0.0,Burkina Faso,0.0,0.0,1.0,1.0,0.0,0.0
102,StateActor,0.0,0.0,2018-02-20 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,1.0,0.0
103,StateActor,0.0,0.0,2018-06-06 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,1.0
104,StateActor,0.0,1.0,2018-06-15 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0
105,NoInformation,0.0,0.0,2018-07-23 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0
106,NoInformation,1.0,0.0,2018-08-02 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0
107,StateActor,0.0,1.0,2018-08-06 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0
108,StateActor,0.0,0.0,2018-08-06 00:00:00,0.0,Cameroon,0.0,1.0,0.0,0.0,1.0,0.0
109,StateActor,1.0,0.0,2018-08-06 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0
110,NonStateArmedGroups,0.0,0.0,2018-08-11 00:00:00,0.0,Cameroon,0.0,0.0,0.0,1.0,0.0,0.0
111,NoInformation,0.0,0.0,2018-08-19 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0
112,StateActor,1.0,0.0,2018-09-17 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0
113,NonStateArmedGroups,0.0,0.0,2018-09-20 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0
114,NoInformation,0.0,0.0,2018-11-16 00:00:00,0.0,Cameroon,0.0,0.0,0.0,1.0,0.0,0.0
115,StateActor,0.0,0.0,2018-11-01 00:00:00,0.0,Cameroon,0.0,0.0,0.0,0.0,0.0,0.0
116,NonStateArmedGroups,0.0,0.0,2018-01-18 00:00:00,0.0,DRC,0.0,0.0,0.0,2.0,0.0,0.0
117,NonStateArmedGroups,1.0,0.0,2018-01-30 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
118,UnspecNonMilArmed,0.0,0.0,2018-02-04 00:00:00,0.0,DRC,0.0,0.0,0.0,0.0,0.0,0.0
